sseid,aeid,confidence,name
36604,37612,2,QuickLootRE::OnLifeStateChanged
52374,53270,2,QuickLootRE::
52400,53299,2,QuickLootRE::
67234,68534,2,QuickLootRE::
67240,68540,2,QuickLootRE::
234000,189485,2,QuickLootRE::TESObjectACTI
234148,189633,2,QuickLootRE::TESObjectCONT
241857,195816,2,QuickLootRE::TESNPC
