id,fo4,vr,status,name
2201,0x140d10fc0,0x140d5b580,2,FUN_140d10fc0
2205,0x1459dcad0,0x145a3e118,2,DAT_1459dcad0
2208,0x1406c6880,0x1406b4a80,4,FUN_1406c6880
2233,0x142c17170,0x142c4c180,2,PTR_GetDriveTypeA_142c17170
2239,0x142dd3870,0x142e15120,2,s_Havok_StackTracer:_Could_not_loa_142dd3870
2294,0x1413e8150,0x14146d2a0,2,FUN_1413e8150
2301,0x143728a90,0x143750cc8,2,DAT_143728a90
2305,0x145a69520,0x145acb290,2,DAT_145a69520
2315,0x142d049a8,0x142d39178,2,PTR_FUN_142d049a8
2402,0x1458df584,0x145941474,2,DAT_1458df584
2431,0x1413b30f0,0x141437d70,2,FUN_1413b30f0
2437,0x141a51170,0x141ad3ae0,4,FUN_141a51170
2489,0x14086c770,0x14085f470,4,FUN_14086c770
2527,0x142609d10,0x14260cba0,2,FUN_142609d10
2545,0x145a601b8,0x145ac0f88,2,DAT_145a601b8
2569,0x142d4ef80,0x142d8fb00,2,PTR_FUN_142d4ef80
2576,0x142f0b5f0,0x142f517c0,2,PTR_FUN_142f0b5f0
2578,0x1418b33e0,0x141935690,4,FUN_1418b33e0
2579,0x143712310,0x143739bb0,2,DAT_143712310
2608,0x142df6200,0x142e37d78,2,DAT_142df6200
2675,0x141c651d0,0x141ce4ff0,4,FUN_141c651d0
2697,0x142dce5b8,0x142e0fe68,2,s_Animation_has_invalid_partition_i_142dce5b8
2733,0x14059edc0,0x1405898a0,4,FUN_14059edc0
2762,0x1424a5090,0x14252eff0,2,FUN_1424a5090
2785,0x142c4afd8,0x142c819d0,2,s_MaxRadius_142c4afd8
2826,0x14147cd00,0x141502070,4,FUN_14147cd00
2833,0x1407e7e80,0x1407d8660,2,FUN_1407e7e80
2937,0x142d1dfd0,0x142d54030,2,s_ratio16x10_142d1dfd0
2943,0x1437959f8,0x1437cea18,2,DAT_1437959f8
2947,0x145ad64d8,0x145b37d18,2,DAT_145ad64d8
3000,0x145a68318,0x145aca008,2,DAT_145a68318
3051,0x1407985f0,0x140786b10,2,FUN_1407985f0
3058,0x14062f8c0,0x14061a210,4,FUN_14062f8c0
3070,0x1467362f8,0x14689e190,2,DAT_1467362f8
3085,0x142d3c8b0,0x142d79b08,2,s_Cameras\CameraTest.nif_142d3c8b0
3098,0x140a4f820,0x140a531a0,2,FUN_140a4f820
3103,0x140f31230,0x140fae870,4,FUN_140f31230
3107,0x143807c18,0x143843930,2,DAT_143807c18
3109,0x1400dfc20,0x1400e0820,2,FUN_1400dfc20
3115,0x142de3b30,0x142e25690,2,DAT_142de3b30
3139,0x1406689d0,0x140656d60,4,FUN_1406689d0
3158,0x1411e8460,0x14126a210,4,FUN_1411e8460
3167,0x142c6d9e8,0x142ca2708,2,PTR_FUN_142c6d9e8
3179,0x141a42b50,0x141ac54c0,4,FUN_141a42b50
3181,0x140f16a00,0x140f94030,2,FUN_140f16a00
3251,0x1410b8840,0x14113a580,4,FUN_1410b8840
3275,0x140c7e0b0,0x140cc4d60,4,FUN_140c7e0b0
3280,0x142d4dd78,0x142d8e8f8,2,PTR_FUN_142d4dd78
3283,0x1424929c0,0x14251c920,4,FUN_1424929c0
3303,0x14003ca50,0x14003d680,4,FUN_14003ca50
3318,0x140090390,0x140090fa0,2,FUN_140090390
3320,0x142c8c2c8,0x142cc15f8,2,PTR_LAB_142c8c2c8
